;TotalScore_MES;TotalDispersion_MES;TotalScore_EPI;TotalDispersion_EPI
TCGA.AR.A1AP.01;0.20602869980698;4735.4244;0.29487555370301;3446.3037
TCGA.AR.A1AQ.01;0.211221596402592;4993.3968;0.192857142857143;5765.0901
TCGA.AR.A1AR.01;0.260150964336485;4191.3102;0.160820787441627;6750.2778
TCGA.AR.A1AS.01;0.139374807361233;4569.3732;0.295666103838301;3149.0424
TCGA.AR.A1AT.01;0.202884073359186;4782.8676;0.300466982698326;3337.3326
TCGA.AR.A1AU.01;0.228451559333912;5095.6962;0.277653005715416;3972.6267
TCGA.AR.A1AV.01;0.169281719621086;4038.6024;0.316381484595223;2913.309
TCGA.AR.A1AW.01;0.254564000604725;4676.1204;0.176166220407356;7162.4406
TCGA.AR.A1AX.01;0.251480608381061;4590.1296;0.272983531971713;3859.9491
TCGA.AR.A1AY.01;0.20685140651204;5495.9982;0.201631260288102;6605.7243
TCGA.AR.A24H.01;0.131156822898904;4019.3286;0.266395967417183;4126.0758
TCGA.AR.A24K.01;0.129657902847948;3974.8506;0.266324259786502;3767.2866
TCGA.AR.A24L.01;0.236686537025904;4934.0928;0.268062904900846;4312.1421
TCGA.AR.A24M.01;0.229478477781645;5180.2044;0.304645100214063;3722.0673
TCGA.AR.A24N.01;0.194325638330163;4722.081;0.284737225091312;3615.3201
